1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,A+,28
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,A-,26
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,B+,13
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,B-,38
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,O+,21
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,O-,24
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,AB+,37
1,Srikara Hospital Blood Centre,"222 & 223, Mythri Nagar, Miyapur, Hyderabad - 500049 (Near Maruthi Showroom)
",Miyapur,AB-,34
2,Mother Teresa Blood Bank,"Plot No 14, 15/P, 19/P, 2, 4th Floor, Madinaguda Main Road, Miyapur, Hyderabad - 500049 (Above FMS Dental Hospital, Vijetha Super Market)
",Miyapur,A+,33
2,Mother Teresa Blood Bank,"Plot No 14, 15/P, 19/P, 2, 4th Floor, Madinaguda Main Road, Miyapur, Hyderabad - 500049 (Above FMS Dental Hospital, Vijetha Super Market)
",Miyapur,A-,31
2,Mother Teresa Blood Bank,"Plot No 14, 15/P, 19/P, 2, 4th Floor, Madinaguda Main Road, Miyapur, Hyderabad - 500049 (Above FMS Dental Hospital, Vijetha Super Market)
",Miyapur,B+,35
2,Mother Teresa Blood Bank,"Plot No 14, 15/P, 19/P, 2, 4th Floor, Madinaguda Main Road, Miyapur, Hyderabad - 500049 (Above FMS Dental Hospital, Vijetha Super Market)
",Miyapur,B-,38
